Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning], What is your expectation from attending this class?,What is your best favorite category to purchase online?, What is your second favorite category to purchase online?, What is you third favorite category to purchase online?
7/3/2020 12:58:31,Mr.,20,Singapore,Have studied,No Background,Gaining Practical Skills,Mobile & Gadgets,Computers & Peripherals,Hobbies & Books
7/3/2020 13:21:18,Mr.,23,Taiwai,No Background,No Background,基礎運用,Mobile & Gadgets,Hobbies & Books,Computers & Peripherals
7/3/2020 14:12:53,Ms.,21,Malaysia,Have studied,No Background,Familiar with common use pandas and numpy libraries,Hobbies & Books,Food & Beverages,Computers & Peripherals
7/3/2020 14:22:55,Ms.,20,Malaysia,Have studied,No Background,learning python to do research and analytics,Women's Apparel,Food & Beverages,Jewellery & Accessories
7/3/2020 14:38:55,Mr.,23,Malaysia,Have studied,Have studied,To use python with machine learning.,Mobile & Gadgets,Computers & Peripherals,Food & Beverages
7/3/2020 14:43:12,Ms.,26,Malaysia,Have studied,No Background,Part 2 of the first course so would like to continue learning ,Hobbies & Books,Mobile & Gadgets,Women's Apparel
7/3/2020 14:49:12,Ms.,20,Singapore,No Background,No Background,learn as much as i can,Hobbies & Books,Mobile & Gadgets,Food & Beverages
7/3/2020 14:52:32,Ms.,23,Malaysia,Have studied,No Background,to learn about functions of numpy and pandas and the syntax,Women's Apparel,Beauty & Personal Care,Mobile & Gadgets
7/3/2020 15:13:52,Ms.,20,Malaysia,No Background,No Background,Learning,Hobbies & Books,Mobile & Gadgets,Women's Apparel
7/3/2020 15:15:35,Mr.,29,Indonesia,Have used in a project,Have used in a project,Get used to ut,Hobbies & Books,Computers & Peripherals,Video Games
7/3/2020 15:16:24,Ms.,30,Singapore,Have studied,No Background,To learn about python.,Beauty & Personal Care,Jewellery & Accessories,Food & Beverages
7/3/2020 16:05:26,Mr.,32,Taiwai,Have used in a project,Have used in a project,Learn some analysis skills ,Food & Beverages,Men's Wear,Video Games
7/3/2020 16:35:52,Ms.,20,Malaysia,Have studied,No Background,Gain further understanding in how to use python and how to apply it to data science,Food & Beverages,Jewellery & Accessories,Hobbies & Books
7/3/2020 16:36:41,Mr.,21,Singapore,Have studied,No Background,Hope to pick up new skills,Computers & Peripherals,Mobile & Gadgets,Food & Beverages
7/3/2020 16:55:28,Ms.,20,Singapore,"Have studied, Have used in a project",Have studied,Gain knowledge,Mobile & Gadgets,Women's Apparel,Beauty & Personal Care
7/3/2020 17:02:04,Mr.,31,Taiwai,Have studied,No Background,Know more about  Data Science ,Computers & Peripherals,Food & Beverages,Video Games
7/3/2020 17:50:03,Mr.,24,Thailand,No Background,No Background,More understanding about principle and structure of the language. Then apply to the projects,Hobbies & Books,Mobile & Gadgets,Video Games
7/3/2020 17:54:30,Ms.,23,Taiwai,No Background,Have studied,Analyze data with python ,Women's Apparel,Beauty & Personal Care,Computers & Peripherals
7/3/2020 18:05:30,Mr.,29,Singapore,Have studied,Have studied,Deepen knowledge,Computers & Peripherals,Hobbies & Books,Mobile & Gadgets
7/3/2020 19:01:22,Mr.,23,Singapore,No Background,No Background,learn as much as i can,Hobbies & Books,Mobile & Gadgets,Computers & Peripherals
7/3/2020 19:27:36,Ms.,37,Malaysia,Have studied,Have used in a project,Learning,Beauty & Personal Care,Computers & Peripherals,Hobbies & Books
7/3/2020 19:34:32,Mr.,22,Singapore,Have studied,No Background,Learning how to code with Python. ,Mobile & Gadgets,Hobbies & Books,Men's Wear
7/3/2020 19:38:46,Ms.,25,Vietnam,Have studied,No Background,Python fundamental for Data Science,Video Games,Computers & Peripherals,Watches
7/3/2020 21:19:56,Mr.,20,Vietnam,Have studied,Have studied,To gain new knowledge,Computers & Peripherals,Beauty & Personal Care,Hobbies & Books
7/3/2020 22:59:07,Mr.,23,Singapore,Have used in a project,No Background,To learn the fundamentals of data science,Men's Wear,Food & Beverages,Computers & Peripherals
7/4/2020 7:28:15,Mr.,26,Malaysia,Have studied,Have studied,Explore new thing,Computers & Peripherals,Food & Beverages,Hobbies & Books
7/4/2020 9:49:19,Mr.,22,Indonesia,Have used in a project,Have used in a project,Learn more about machine learning with python,Computers & Peripherals,Jewellery & Accessories,Computers & Peripherals
7/4/2020 10:46:37,Mr.,23,Singapore,Have studied,No Background,Learn more about python for data science,Computers & Peripherals,Hobbies & Books,Mobile & Gadgets
7/4/2020 11:20:05,Ms.,47,Singapore,Have studied,No Background,Hope to advance my skills,Mobile & Gadgets,Hobbies & Books,Computers & Peripherals
7/4/2020 11:28:29,Mr.,28,China,Have used in a project,Have used in a project,learn more ML ,Video Games,Hobbies & Books,Mobile & Gadgets
