Timestamp,Title,Age,Citizenship,Rate your skills [Python],Rate your skills [Machine learning],What is your expectation from attending this class?,What is your best favorite category to purchase online?,What is your second favorite category to purchase online?,What is you third favorite category to purchase online?
7/2/2020 22:48:14,Mr.,26,Singapore,Have used in a project,Have used in a project,na,Beauty & Personal Care,Hobbies & Books,Mobile & Gadgets
7/2/2020 22:48:53,Mr.,22,Singapore,Have studied,No Background,Get some exposure,Computers & Peripherals,Hobbies & Books,Men's Wear
7/2/2020 22:50:33,Ms.,28,Indonesia,Have used in a project,Have used in a project,Learning something new about python,Hobbies & Books,Women's Apparel,Food & Beverages
7/2/2020 22:50:45,Ms.,21,Singapore,No Background,No Background,To learn how to use coding knowledge in data science,Women's Apparel,Food & Beverages,Hobbies & Books
7/2/2020 22:52:08,Ms.,20,Malaysia,No Background,No Background,Learn some basic Python skills,Women's Apparel,Beauty & Personal Care,Mobile & Gadgets
7/2/2020 22:52:46,Ms.,21,Thailand,Have studied,Have studied,More understanding and able to adapt with the project or working in the future,Beauty & Personal Care,Food & Beverages,Mobile & Gadgets
7/2/2020 22:53:08,Mr.,21,Malaysia,No Background,Have studied,Able to learn something new,Mobile & Gadgets,Food & Beverages,Computers & Peripherals
7/2/2020 22:53:54,Ms.,23,Singapore,No Background,No Background,Learn basic coding,Hobbies & Books,Food & Beverages,Mobile & Gadgets
7/2/2020 22:53:58,Ms.,24,Indonesia,Have studied,Have used in a project,Know more about this topic,Women's Apparel,Beauty & Personal Care,Jewellery & Accessories
7/2/2020 22:54:58,Ms.,23,Singapore,Have used in a project,Have studied,not sure,Food & Beverages,Beauty & Personal Care,Hobbies & Books
7/2/2020 22:55:07,Ms.,20,Malaysia,Have studied,Have studied,-,Hobbies & Books,Mobile & Gadgets,Jewellery & Accessories
7/2/2020 22:56:56,Ms.,21,Malaysia,Have studied,Have used in a project,Have a deeper knowledge about Python and able to utilise it more efficiently,Beauty & Personal Care,Hobbies & Books,Women's Apparel
7/2/2020 22:58:46,Mr.,23,Singapore,Regularly use at work,Have used in a project,Learning more indepth integration of machine learning and computer vision for projects that I am working on,Men's Wear,Hobbies & Books,Computers & Peripherals
7/2/2020 22:59:37,Ms.,30,Indonesia,No Background,No Background,to improve skill and knowledge in data science,Beauty & Personal Care,Hobbies & Books,Food & Beverages
7/2/2020 23:02:45,Ms.,21,Singapore,Have studied,No Background,Better understanding,Beauty & Personal Care,Women's Apparel,Jewellery & Accessories
7/2/2020 23:06:22,Mr.,23,Philippines,Have used in a project,Have studied,"Learn, and receive some materials",Computers & Peripherals,Mobile & Gadgets,Jewellery & Accessories
7/2/2020 23:09:21,Ms.,22,Malaysia,Have studied,No Background,More python skills,Hobbies & Books,Beauty & Personal Care,Computers & Peripherals
7/2/2020 23:09:46,Mr.,24,Malaysia,Have used in a project,No Background,Learn something,Computers & Peripherals,Computers & Peripherals,Food & Beverages
7/2/2020 23:14:34,Mr.,16,Malaysia,Have studied,No Background,to learn more about the usage of python and machine learning as im interested in it,Computers & Peripherals,Mobile & Gadgets,Jewellery & Accessories
7/2/2020 23:17:29,Ms.,0,Malaysia,No Background,Have studied,To learn,Mobile & Gadgets,Hobbies & Books,Beauty & Personal Care
7/2/2020 23:18:11,Ms.,23,Taiwai,Have used in a project,No Background,How to build an image classification model in Python?,Beauty & Personal Care,Food & Beverages,Women's Apparel
7/2/2020 23:28:23,Ms.,19,Singapore,Have studied,No Background,Familiarise with python and gain some basic knowledge about data science,Women's Apparel,Food & Beverages,Hobbies & Books
7/2/2020 23:29:54,Ms.,23,Taiwan,Have studied,No Background,Learn anything,Beauty & Personal Care,Hobbies & Books,Women's Apparel
7/2/2020 23:31:35,Mr.,22,Indonesia,Have studied,Have used in a project,To be pro in pandas and numpy,Food & Beverages,Men's Wear,Video Games
7/2/2020 23:32:46,Mr.,25,Singapore,Have studied,No Background,Solidify my fundamentals and confidence to work on future projects,Computers & Peripherals,Mobile & Gadgets,Video Games
7/2/2020 23:33:55,Ms.,23,Indonesia,Have studied,No Background,The training is appropriate for beginner,Food & Beverages,Beauty & Personal Care,Computers & Peripherals
7/2/2020 23:34:14,Ms.,33,Taiwai,Have used in a project,Have used in a project,Boosting python skills,Food & Beverages,Hobbies & Books,Beauty & Personal Care
7/2/2020 23:42:53,Ms.,28,Taiwai,"No Background, Have used in a project",No Background,Useful technique of python in data science,Women's Apparel,Beauty & Personal Care,Hobbies & Books
7/2/2020 23:44:25,Mr.,38,Malaysia,Have studied,Have studied,Practical skills,Hobbies & Books,Food & Beverages,Mobile & Gadgets
7/2/2020 23:44:48,Ms.,24,Singapore,Have studied,No Background,Build up on my python skills for Data science,Food & Beverages,Beauty & Personal Care,Women's Apparel
7/2/2020 23:55:01,Mr.,21,Singapore,Have studied,Have studied,Learn how to make models,Video Games,Hobbies & Books,Mobile & Gadgets
7/3/2020 0:07:17,Ms.,23,Singapore,Have studied,No Background,"To learn how to write scripts from a data science perspective, and learn more about how Python is used in Data science",Mobile & Gadgets,Video Games,Computers & Peripherals
7/3/2020 0:14:53,Ms.,21,Vietnam,Have studied,Have used in a project,Knowledge,Beauty & Personal Care,Food & Beverages,Computers & Peripherals
7/3/2020 0:17:29,Ms.,26,Taiwai,Have studied,Have studied,learn how to use python in practical cases and works,Hobbies & Books,Beauty & Personal Care,Computers & Peripherals
7/3/2020 0:38:24,Mr.,23,Bangladesh,Have used in a project,No Background,Learn to use python for machine learning.,Computers & Peripherals,Mobile & Gadgets,Men's Wear
7/3/2020 0:49:43,Mr.,23,Malaysia,Have studied,Have studied,Strengthen Python fundamental,Hobbies & Books,Computers & Peripherals,Men's Wear
